"is_active","classification","cost_type","cost_group","id","created_date","updated_date","created_by_id","created_by","is_sample"
"true","PREVENTIVO","LIMPEZA E HIGIENIZAÇÃO","SERVIÇOS","6a4b98f6cb678495b087a1bb","2026-07-06T12:00:54.001000","2026-07-06T12:00:54.001000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","PREVENTIVO","LIMPEZA E HIGIENIZAÇÃO","PEÇAS","6a4b98e4446d76f1a7139f49","2026-07-06T12:00:36.644000","2026-07-06T12:00:36.644000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","MANUTENÇÃO","PEÇAS","6a314997666bb607fc5380f0","2026-06-16T13:03:19.369000","2026-06-16T13:03:19.369000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","GUINCHO","SERVIÇOS","6a19b52b138279f175cea6f2","2026-05-29T15:47:55.077000","2026-05-29T15:47:55.077000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","MANUTENÇÃO","SERVIÇOS","6a19742bf01826fdff52772c","2026-05-29T11:10:35.633000","2026-05-29T11:10:35.633000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","SUSPENSÃO","SERVIÇOS","6a072317bd7fef02990941e9","2026-05-15T13:43:51.808000","2026-05-15T13:43:51.808000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","SIST. PNEUMATICO","SERVIÇOS","6a0723015ab71e84aed5afed","2026-05-15T13:43:29.055000","2026-05-15T13:43:39.137000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","MOTOR","SERVIÇOS","6a0722ee9e19b2269bc22571","2026-05-15T13:43:10.049000","2026-05-15T13:43:10.049000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","HIDRÁULICO","SERVIÇOS","6a0722deba2e99fb33a996b2","2026-05-15T13:42:54.156000","2026-05-15T13:42:54.156000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","FUNILARIA E PINTURA","SERVIÇOS","6a0722cd01deeb025739d78e","2026-05-15T13:42:37.701000","2026-05-15T13:42:37.701000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","FREIOS","SERVIÇOS","6a0722b7e757f3768cc82f83","2026-05-15T13:42:15.468000","2026-05-15T13:42:15.468000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","ELÉTRICO","SERVIÇOS","6a0722a48d710e1dbb1a0f90","2026-05-15T13:41:56.525000","2026-05-15T13:42:04.612000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","AR CONDICIONADO","SERVIÇOS","6a072296d99b11a561c17c6c","2026-05-15T13:41:42.257000","2026-05-15T13:41:42.257000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","ELÉTRICO","PEÇAS","6a0720895c9dd6ed8a22761c","2026-05-15T13:32:57.198000","2026-05-15T13:32:57.198000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","PREVENTIVO","ALINH/BALANC","SERVIÇOS","6a0720895c9dd6ed8a227628","2026-05-15T13:32:57.198000","2026-05-15T13:32:57.198000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","PREVENTIVO","ÓLEOS E FILTROS","PEÇAS","6a0720895c9dd6ed8a22762a","2026-05-15T13:32:57.198000","2026-05-29T10:53:08.084000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","PREVENTIVO","VULCANIZAÇÃO","PNEUS","6a0720895c9dd6ed8a22762e","2026-05-15T13:32:57.198000","2026-05-29T12:16:07.870000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","LÂMPADAS","PEÇAS","6a0720895c9dd6ed8a227621","2026-05-15T13:32:57.198000","2026-05-15T13:32:57.198000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","AR CONDICIONADO","PEÇAS","6a0720895c9dd6ed8a227619","2026-05-15T13:32:57.198000","2026-05-15T13:32:57.198000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","ACESSÓRIOS","PEÇAS","6a0720895c9dd6ed8a227618","2026-05-15T13:32:57.198000","2026-05-15T13:32:57.198000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","FREIOS","PEÇAS","6a0720895c9dd6ed8a22761e","2026-05-15T13:32:57.198000","2026-05-15T13:32:57.198000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","FUNILARIA E PINTURA","PEÇAS","6a0720895c9dd6ed8a22761f","2026-05-15T13:32:57.198000","2026-05-15T13:32:57.198000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","MOTOR","PEÇAS","6a0720895c9dd6ed8a227622","2026-05-15T13:32:57.198000","2026-05-15T13:32:57.198000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","HIDRÁULICO","PEÇAS","6a0720895c9dd6ed8a227620","2026-05-15T13:32:57.198000","2026-05-15T13:32:57.198000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","VIDROS","PEÇAS","6a0720895c9dd6ed8a227625","2026-05-15T13:32:57.198000","2026-05-15T13:32:57.198000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","PREVENTIVO","REVISÃO","SERVIÇOS","6a0720895c9dd6ed8a227629","2026-05-15T13:32:57.198000","2026-05-15T13:32:57.198000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","SUSPENSÃO","PEÇAS","6a0720895c9dd6ed8a227624","2026-05-15T13:32:57.198000","2026-05-15T13:32:57.198000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","PREVENTIVO","TROCA DE ÓLEO","SERVIÇOS","6a0720895c9dd6ed8a227627","2026-05-15T13:32:57.198000","2026-05-15T13:32:57.198000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
"true","CORRETIVO","BATERIAS","PEÇAS","6a0720895c9dd6ed8a22761b","2026-05-15T13:32:57.198000","2026-05-15T13:32:57.198000","6a0720445c9dd6ed8a2275ed","grupof8.ely2026@gmail.com","false"
